	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
6639.989258	7.63	145.18	1.00
6666.655762	8.11	146.39	0.99
6693.322266	8.36	143.81	1.00
6719.988770	8.30	140.63	1.00
6746.655273	7.70	140.49	0.99
6773.321777	7.07	138.20	1.00
6799.988281	6.91	137.67	1.00
6826.654785	6.85	140.15	0.99
6853.321289	6.72	138.89	1.00
6879.987793	6.51	137.09	1.00
6906.654297	6.33	135.79	1.00
6933.320801	6.07	135.06	1.00
6959.987305	5.84	133.60	1.00
6986.653809	5.69	134.10	1.00
7013.320313	5.66	134.65	1.00
7039.986816	5.64	133.87	1.00
7066.653320	5.46	132.24	1.00
7093.319824	4.79	129.66	0.99
7119.986328	4.36	129.88	1.00
7146.652832	4.59	132.18	0.95
7173.319336	5.07	136.92	0.98
7199.985840	5.23	137.83	1.00
7226.652344	5.03	137.77	1.00
7253.318848	5.08	139.08	0.99
7279.985352	5.38	140.44	0.99
7306.651855	5.19	138.47	0.98
7333.318359	4.97	137.75	0.99
7359.984863	5.09	138.79	0.99
7386.651367	5.32	137.93	1.00
7413.317871	5.24	137.16	1.00
7439.984375	4.54	134.25	0.97
7466.650879	4.58	133.91	0.99
7493.317383	5.03	135.42	0.99
7519.983887	5.40	135.84	0.99
7546.650391	5.34	134.53	1.00
7573.316895	5.30	133.94	1.00
7599.983398	5.66	133.60	0.98
7626.649902	5.68	133.35	1.00
7653.316406	5.55	132.65	1.00
7679.982910	5.35	133.79	1.00
7706.649414	5.43	132.82	1.00
7733.315918	5.35	132.22	1.00
7759.982422	5.00	131.60	1.00
7786.648926	4.86	131.61	1.00
7813.315430	4.75	131.55	1.00
7839.981934	4.68	131.30	1.00
7866.648438	4.73	130.89	1.00
7893.314941	4.84	131.02	1.00
7919.981445	5.01	130.94	1.00
7946.647949	5.14	130.35	1.00
7973.314453	5.14	128.55	1.00
7999.980957	5.15	126.73	1.00
8026.647461	5.35	125.09	1.00
8053.313965	5.43	122.75	1.00
8079.980469	5.24	121.24	1.00
8106.646973	5.09	120.10	1.00
8133.313477	4.78	117.83	1.00
8159.979980	4.56	117.66	1.00
8186.646484	4.27	117.73	1.00
8213.313477	3.95	116.44	0.98
8239.980469	3.61	114.43	0.99
8266.647461	3.48	114.32	1.00
8293.314453	3.38	114.81	1.00
8319.981445	3.46	114.89	1.00
8346.648438	3.41	114.23	1.00
8373.315430	3.31	113.94	1.00
8399.982422	3.20	114.03	1.00
8426.649414	3.11	114.03	1.00
8453.316406	2.93	113.89	1.00
8479.983398	2.70	114.23	1.00
8506.650391	2.71	114.32	1.00
8533.317383	2.39	113.44	1.00
8559.984375	2.09	112.27	1.00
8586.651367	1.86	111.72	1.00
8613.318359	1.78	111.76	1.00
8639.985352	1.73	111.89	1.00
8666.652344	1.54	110.12	0.99
8693.319336	1.28	110.26	1.00
8719.986328	1.21	111.49	1.00
8746.653320	1.21	111.72	0.99
8773.320313	0.99	111.07	1.00
8799.987305	0.93	111.35	1.00
8826.654297	0.77	111.42	1.00
8853.321289	0.64	110.49	1.00
8879.988281	0.45	110.01	1.00
8906.655273	0.25	109.60	1.00
8933.322266	-0.02	109.26	1.00
8959.989258	-0.38	109.04	0.99
8986.656250	-0.58	110.88	1.00
9013.323242	-0.64	112.12	1.00
9039.990234	-0.72	113.10	1.00
9066.657227	-0.78	113.85	1.00
9093.324219	-0.81	114.30	1.00
9119.991211	-0.97	114.12	1.00
9146.658203	-1.08	115.14	1.00
9173.325195	-1.03	115.88	1.00
9199.992188	-0.95	115.56	0.99
9226.659180	-1.07	114.07	0.99
9253.326172	-1.35	114.76	1.00
9279.993164	-1.64	115.21	1.00
9306.660156	-1.93	116.26	1.00
9333.327148	-2.18	118.19	1.00
9359.994141	-2.30	120.60	1.00
9386.661133	-2.27	123.51	1.00
9413.328125	-2.21	123.79	1.00
9439.995117	-2.26	123.36	1.00
9466.662109	-2.23	123.22	1.00
9493.329102	-2.13	123.70	1.00
9519.996094	-1.89	124.38	1.00
9546.663086	-1.59	123.99	1.00
9573.330078	-1.35	122.86	1.00
9600.000977	-1.26	124.87	0.97
9733.333984	-0.59	117.92	0.98
9866.666992	-0.30	142.10	0.97
10000.000000	-0.59	117.77	0.98
10133.333008	-1.41	134.24	0.98
10266.666016	-3.21	127.95	0.98
10399.999023	-4.06	139.77	0.99
10533.332031	-3.59	139.03	1.00
